address|latitude|longitude
612 W 4th St Austin, TX, EUA|30.2682524|-97.74986129999999
1220 S Congress Ave Austin, TX, EUA|30.251717|-97.7491
900 Red River St. Austin, TX, EUA|30.26960979999999|-97.73635829999999
500 West 2nd St Austin, TX, EUA|30.2660754|-97.7495642
1501 E 6th St. Austin, TX, EUA|30.2626754|-97.7275398
407 Radam Ln, Unit D Austin, TX, EUA|30.2234|-97.769736
718 Congress Ave. Austin, TX, EUA|30.2697732|-97.74271
310 Colorado St.  Austin, TX, EUA|30.2662896|-97.74519269999999
1165 Angelina St. Austin, TX, EUA|30.2702786|-97.72393339999999
508 E 6th St. Austin, TX, EUA|30.2669107|-97.7377236
400 W 2nd St A Austin, TX, EUA|30.2656084|-97.7478026
6th & Trinity St. Austin, TX, EUA|30.267068|-97.739335
800 Congress Ave. Austin, TX, EUA|30.2702192|-97.74221879999999
401 W 2nd St. Austin, TX, EUA|30.2651645|-97.74793009999999
2324 E Cesar Chavez Austin, TX, EUA|30.2550902|-97.7182267
525 N Lamar. Austin, TX, EUA|30.2705496|-97.7531762
83 Rainey St. Austin, TX, EUA|30.259389|-97.7382435
208 E 6th St. Austin, TX, EUA|30.2678607|-97.74096999999999
1315 S Congress Ave. Austin, TX, EUA|30.2504975|-97.74903359999999
702 E 10th St. Austin, TX, EUA|30.2698328|-97.73435889999999
705 Red River St. Austin, TX, EUA|30.2675715|-97.7365464
606 E 7th St. Austin, TX, EUA|30.2674328|-97.7360899
807 E 4th St. Austin, TX, EUA|30.2635083|-97.7346683
300 W 21st St Austin, TX, EUA|30.2843324|-97.741221
Riverside Dr & S 1st St. Austin, TX, EUA|30.2597833|-97.7492891
515 S Congress Ave Suite 104. Austin, TX, EUA|30.2559126|-97.74646589999999
75 1/2 Rainey St. Austin, TX, EUA|30.2585956|-97.7385936
